Angle degree;Robot_size;Coverage Ratio;Coverage Efficiency;Performance Index
355;11;0.9478;9.6324;9.1296
356;11;0.9521;9.0127;8.581
357;11;0.9499;9.4632;8.9891
358;11;0.9488;9.5957;9.1044
359;11;0.9365;9.0621;8.4866
0;11;0.9475;9.6079;9.1035
1;11;0.9523;9.2056;8.7665
2;11;0.9433;9.8179;9.2612
3;11;0.9449;9.2993;8.7869
4;11;0.9511;9.0567;8.6138
5;11;0.9547;9.1859;8.7698
85;11;0.9318;9.209;8.581
86;11;0.9365;9.5054;8.9018
87;11;0.9541;8.8906;8.4825
88;11;0.9384;8.5692;8.0413
89;11;0.9256;9.2543;8.5657
90;11;0.9207;8.9528;8.2429
91;11;0.9264;9.0208;8.3569
92;11;0.9272;8.7527;8.1155
93;11;0.9216;9.3997;8.6628
94;11;0.9449;8.9069;8.4161
95;11;0.9491;9.0578;8.5967
175;11;0.9535;9.5189;9.0763
176;11;0.9495;8.6157;8.1806
177;11;0.9373;9.2968;8.7139
178;11;0.9449;9.7422;9.2054
179;11;0.9358;8.9711;8.3952
180;11;0.9372;9.503;8.9062
181;11;0.9529;9.5058;9.0581
182;11;0.9333;9.4431;8.8133
183;11;0.9487;9.6112;9.1181
184;11;0.9453;9.1134;8.6149
185;11;0.9467;9.0831;8.5989
265;11;0.9401;8.8026;8.2753
266;11;0.9339;9.5443;8.9134
267;11;0.945;9.3323;8.8191
268;11;0.9416;8.8201;8.305
269;11;0.9316;8.8694;8.2628
270;11;0.9183;8.5038;7.809
271;11;0.9324;8.3968;7.8292
272;11;0.9253;8.8172;8.1586
273;11;0.9373;8.7622;8.2129
274;11;0.9476;8.094;7.6699
275;11;0.9482;9.5579;9.0628
